index,x_m,y_m,z_m,yaw_rad,is_print,layer,seg_id,feed_m_s,de,pos_error_m,rot_error_rad,q1,q2,q3,q4,q5,q6,q7
0,0.4204879374118668,-0.04761297233973317,0.10026,-3.141592653589793,1,0,0,0.02,0.0,0.020687593496840025,0.031862426074306796,-0.7968104614802257,1.7623882004614488,-1.651898692420808,-1.9248616998308077,-0.2359482558703172,1.9113206197316073,-0.1705265007949271
1,0.4213789374118668,-0.048516972339733164,0.10026,-3.141592653589793,1,0,0,0.02,0.11551,0.020312954261058436,0.031862426074306796,-0.7968104614802257,1.7623882004614488,-1.651898692420808,-1.9248616998308077,-0.2359482558703172,1.9113206197316073,-0.1705265007949271
2,0.4223769374118668,-0.04932897233973317,0.10026,-3.141592653589793,1,0,0,0.02,0.11707999999999999,0.019970584048827546,0.031862426074306796,-0.7968104614802257,1.7623882004614488,-1.651898692420808,-1.9248616998308077,-0.2359482558703172,1.9113206197316073,-0.1705265007949271
3,0.4234309374118668,-0.05000797233973316,0.10026,-3.141592653589793,1,0,0,0.02,0.11409,0.019678592963007058,0.031862426074306796,-0.7968104614802257,1.7623882004614488,-1.651898692420808,-1.9248616998308077,-0.2359482558703172,1.9113206197316073,-0.1705265007949271
4,0.4244459374118668,-0.050510972339733166,0.10026,-3.141592653589793,1,0,0,0.02,0.10308,0.01945276663950929,0.031862426074306796,-0.7968104614802257,1.7623882004614488,-1.651898692420808,-1.9248616998308077,-0.2359482558703172,1.9113206197316073,-0.1705265007949271
5,0.4251249374118668,-0.050793972339733165,0.10026,-3.141592653589793,1,0,0,0.02,0.06695000000000001,0.019330606188433845,0.031862426074306796,-0.7968104614802257,1.7623882004614488,-1.651898692420808,-1.9248616998308077,-0.2359482558703172,1.9113206197316073,-0.1705265007949271
6,0.4262769374118668,-0.05115697233973317,0.10026,-3.141592653589793,1,0,0,0.02,0.10990999999999995,0.019168993730231364,0.031862426074306796,-0.7968104614802257,1.7623882004614488,-1.651898692420808,-1.9248616998308077,-0.2359482558703172,1.9113206197316073,-0.1705265007949271
7,0.4274649374118668,-0.05139297233973317,0.10026,-3.141592653589793,1,0,0,0.02,0.1102200000000001,0.019058925985177846,0.031862426074306796,-0.7968104614802257,1.7623882004614488,-1.651898692420808,-1.9248616998308077,-0.2359482558703172,1.9113206197316073,-0.1705265007949271
8,0.4283619374118668,-0.05148997233973317,0.10026,-3.141592653589793,1,0,0,0.02,0.08209999999999995,0.019013190793520474,0.031862426074306796,-0.7968104614802257,1.7623882004614488,-1.651898692420808,-1.9248616998308077,-0.2359482558703172,1.9113206197316073,-0.1705265007949271
9,0.4293149374118668,-0.051515972339733165,0.10026,-3.141592653589793,1,0,0,0.02,0.08675999999999995,0.018998659574092604,0.031862426074306796,-0.7968104614802257,1.7623882004614488,-1.651898692420808,-1.9248616998308077,-0.2359482558703172,1.9113206197316073,-0.1705265007949271
10,0.4305559374118668,-0.05143497233973317,0.10026,-3.141592653589793,1,0,0,0.02,0.11316999999999999,0.019032716145368687,0.031862426074306796,-0.7968104614802257,1.7623882004614488,-1.651898692420808,-1.9248616998308077,-0.2359482558703172,1.9113206197316073,-0.1705265007949271
11,0.4318249374118668,-0.05120497233973317,0.10026,-3.141592653589793,1,0,0,0.02,0.11736000000000013,0.019129043673669983,0.031862426074306796,-0.7968104614802257,1.7623882004614488,-1.651898692420808,-1.9248616998308077,-0.2359482558703172,1.9113206197316073,-0.1705265007949271
12,0.4330839374118668,-0.05083097233973317,0.10026,-3.141592653589793,1,0,0,0.02,0.11951999999999985,0.019290531310192052,0.031862426074306796,-0.7968104614802257,1.7623882004614488,-1.651898692420808,-1.9248616998308077,-0.2359482558703172,1.9113206197316073,-0.1705265007949271
13,0.4342209374118668,-0.05034097233973317,0.10026,-3.141592653589793,1,0,0,0.02,0.11265999999999998,0.01949559640190954,0.031862426074306796,-0.7968104614802257,1.7623882004614488,-1.651898692420808,-1.9248616998308077,-0.2359482558703172,1.9113206197316073,-0.1705265007949271
14,0.4351209374118668,-0.04985197233973317,0.10026,-3.141592653589793,1,0,0,0.02,0.09321000000000002,0.019703908574150653,0.031862426074306796,-0.7968104614802257,1.7623882004614488,-1.651898692420808,-1.9248616998308077,-0.2359482558703172,1.9113206197316073,-0.1705265007949271
15,0.43614693741186683,-0.04915497233973317,0.10026,-3.141592653589793,1,0,0,0.02,0.11287000000000003,0.019997057942864885,0.031862426074306796,-0.7968104614802257,1.7623882004614488,-1.651898692420808,-1.9248616998308077,-0.2359482558703172,1.9113206197316073,-0.1705265007949271
16,0.4370939374118668,-0.04834697233973316,0.10026,-3.141592653589793,1,0,0,0.02,0.11329000000000011,0.020330905061294632,0.031862426074306796,-0.7968104614802257,1.7623882004614488,-1.651898692420808,-1.9248616998308077,-0.2359482558703172,1.9113206197316073,-0.1705265007949271
17,0.43798093741186683,-0.047408972339733166,0.10026,-3.141592653589793,1,0,0,0.02,0.11748000000000003,0.020714572743084025,0.031862426074306796,-0.7968104614802257,1.7623882004614488,-1.651898692420808,-1.9248616998308077,-0.2359482558703172,1.9113206197316073,-0.1705265007949271
18,0.4387439374118668,-0.046387972339733165,0.10026,-3.141592653589793,1,0,0,0.02,0.11597999999999997,0.020494682869664244,0.03274646624395964,-0.7411087236856635,1.7564780259660024,-1.642884846977235,-2.0095435255023015,-0.22826713828840553,1.9411741830325557,-0.17677452324198958
19,0.4393789374118668,-0.04531797233973317,0.10026,-3.141592653589793,1,0,0,0.02,0.11322999999999972,0.02031950957213145,0.03274646624395964,-0.7411087236856635,1.7564780259660024,-1.642884846977235,-2.0095435255023015,-0.22826713828840553,1.9411741830325557,-0.17677452324198958
20,0.43984593741186684,-0.04430997233973316,0.10026,-3.141592653589793,1,0,0,0.02,0.10109000000000012,0.020264361357275596,0.03274646624395964,-0.7411087236856635,1.7564780259660024,-1.642884846977235,-2.0095435255023015,-0.22826713828840553,1.9411741830325557,-0.17677452324198958
21,0.4402539374118668,-0.04312097233973317,0.10026,-3.141592653589793,1,0,0,0.02,0.11440000000000028,0.02031924377919054,0.03274646624395964,-0.7411087236856635,1.7564780259660024,-1.642884846977235,-2.0095435255023015,-0.22826713828840553,1.9411741830325557,-0.17677452324198958
22,0.44053293741186683,-0.041873972339733175,0.10026,-3.141592653589793,1,0,0,0.02,0.11627999999999972,0.02050085762835304,0.03274646624395964,-0.7411087236856635,1.7564780259660024,-1.642884846977235,-2.0095435255023015,-0.22826713828840553,1.9411741830325557,-0.17677452324198958
23,0.44067193741186683,-0.040644972339733174,0.10026,-3.141592653589793,1,0,0,0.02,0.11255000000000015,0.021173147572443412,0.03143733468302335,-0.7238115306702559,1.7559974689433169,-1.6399141419170957,-2.021096602553872,-0.22419486697307447,1.9368579468419462,-0.17519718284715435
24,0.4406809374118668,-0.033748972339733174,0.10026,-3.141592653589793,1,0,0,0.02,0.6275399999999998,0.02125644081106879,0.03100810616329521,-0.713574881693728,1.7562463271122029,-1.6392964189194879,-2.018465922499825,-0.22174593946233964,1.9244416459148272,-0.17357367290527728
25,0.4555294374118668,-0.025175972339733177,0.10026,-3.141592653589793,1,0,0,0.02,1.5602550000000002,0.021018516724629187,0.03179687579209498,-0.6557645826939184,1.7526149511888527,-1.6312486071116734,-2.089108880495304,-0.21528551039143157,1.9381602217537277,-0.17673894622466274
26,0.47037793741186684,-0.01660297233973317,0.10026,-3.141592653589793,1,0,0,0.02,1.5602550000000002,0.021378695847015333,0.031373357483790706,-0.5934391788396115,1.7489227782100403,-1.621539434324739,-2.1692553724425068,-0.20747381044705354,1.9576017181754024,-0.17981133979150274
27,0.48522643741186683,-0.008029972339733163,0.10026,-3.141592653589793,1,0,0,0.02,1.5602550000000002,0.02175518152183716,0.031019110860000938,-0.5278961262082821,1.745244310025985,-1.6116914558782696,-2.256929146154989,-0.2002857900933151,1.9813349169786658,-0.183421195009863
28,0.5000749374118668,0.00054302766026683,0.10026,-3.141592653589793,1,0,0,0.02,1.5602550000000002,0.022715925170219364,0.028887054655950782,-0.4500563988494961,1.7617725913289028,-1.5652456896462628,-2.3686874931433626,-0.22533737818608274,2.0193930351935134,-0.17732570712033463
29,0.5009339374118668,0.0011050276602668277,0.10026,-3.141592653589793,1,0,0,0.02,0.09342000000000006,0.02242311286355263,0.028887054655950782,-0.4500563988494961,1.7617725913289028,-1.5652456896462628,-2.3686874931433626,-0.22533737818608274,2.0193930351935134,-0.17732570712033463
